Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2017,Gwinnett,GA,Passenger,0,1,1,86,87,1.15
March 31 2023,El Paso,CO,Passenger,3,3,6,545,551,1.09
April 30 2021,Spokane,WA,Truck,0,0,0,101863,101863,0
February 28 2018,San Juan,WA,Truck,0,0,0,5640,5640,0
April 30 2023,Tarrant,TX,Passenger,2,0,2,91,93,2.15
September 30 2020,DuPage,IL,Passenger,4,1,5,59,64,7.81
March 31 2019,Ramsey,MN,Passenger,1,0,1,45,46,2.17
January 31 2022,Kern,CA,Passenger,0,1,1,201,202,0.5
September 30 2019,Wilson,TX,Passenger,0,1,1,7,8,12.5
April 30 2023,Beaufort,SC,Passenger,1,0,1,30,31,3.23
February 29 2020,Lake,CA,Passenger,0,1,1,10,11,9.09
December 31 2017,Clallam,WA,Passenger,99,91,190,49059,49249,0.39
December 31 2021,Clallam,WA,Passenger,383,239,622,50359,50981,1.22
May 31 2021,Clackamas,OR,Passenger,2,0,2,183,185,1.08
January 31 2019,Calvert,MD,Passenger,0,1,1,88,89,1.12
April 30 2021,Okaloosa,FL,Passenger,0,1,1,135,136,0.74
June 30 2019,Prince George's,MD,Passenger,1,1,2,182,184,1.09
June 30 2019,Kent,MI,Passenger,0,1,1,24,25,4
November 30 2022,Plaquemines,LA,Passenger,1,1,2,19,21,9.52
May 31 2023,King,WA,Truck,685,2,687,175725,176412,0.39
September 30 2023,Island,WA,Truck,34,0,34,20921,20955,0.16
May 31 2020,Columbia,WA,Passenger,4,3,7,2405,2412,0.29
March 31 2023,Mercer,NJ,Passenger,0,1,1,12,13,7.69
August 31 2020,Maui,HI,Passenger,2,0,2,34,36,5.56
March 31 2023,Spokane,WA,Passenger,2095,1001,3096,321843,324939,0.95
September 30 2022,El Paso,CO,Passenger,3,3,6,607,613,0.98
October 31 2022,El Paso,TX,Passenger,4,0,4,340,344,1.16
August 31 2021,,,Passenger,4,2,6,340,346,1.73
June 30 2018,King,WA,Truck,7,1,8,183004,183012,0
August 31 2019,Chelan,WA,Truck,0,0,0,22360,22360,0
July 31 2022,Mason,WA,Truck,4,0,4,20940,20944,0.02
September 30 2017,Franklin,WA,Truck,0,0,0,18244,18244,0
November 30 2019,Douglas,WA,Truck,0,0,0,12297,12297,0
February 29 2020,Middlesex,MA,Passenger,1,0,1,102,103,0.97
July 31 2019,Santa Cruz,CA,Passenger,1,0,1,41,42,2.38
June 30 2024,El Dorado,CA,Passenger,1,0,1,14,15,6.67
February 28 2021,Clallam,WA,Truck,1,0,1,21890,21891,0
October 31 2022,Honolulu,HI,Passenger,5,3,8,368,376,2.13
May 31 2024,Middlesex,NJ,Passenger,1,0,1,19,20,5
May 31 2017,Chelan,WA,Passenger,60,36,96,51878,51974,0.18
September 30 2022,Orange,CA,Passenger,7,3,10,383,393,2.54
August 31 2020,Pend Oreille,WA,Truck,0,0,0,5745,5745,0
November 30 2020,New London,CT,Passenger,1,2,3,237,240,1.25
May 31 2019,Arlington,VA,Passenger,1,2,3,164,167,1.8
May 31 2020,Kootenai,ID,Passenger,1,1,2,226,228,0.88
October 31 2023,Middlesex,NJ,Passenger,1,0,1,17,18,5.56
March 31 2024,Charleston,SC,Passenger,1,2,3,42,45,6.67
October 31 2023,San Mateo,CA,Passenger,2,0,2,59,61,3.28
December 31 2021,Maui,HI,Passenger,1,0,1,29,30,3.33
October 31 2020,Columbia,WA,Passenger,4,3,7,2437,2444,0.29
April 30 2021,Fairfax,VA,Passenger,5,3,8,719,727,1.1
January 31 2019,Nantucket,MA,Passenger,1,0,1,4,5,20
February 28 2018,Norfolk,VA,Passenger,1,1,2,324,326,0.61
April 30 2019,El Paso,CO,Passenger,3,3,6,758,764,0.79
June 30 2023,Lincoln,OR,Passenger,0,1,1,18,19,5.26
July 31 2021,Thurston,WA,Passenger,1655,892,2547,197466,200013,1.27
May 31 2021,Prince George's,MD,Passenger,2,1,3,151,154,1.95
